,GW,GW,GW,GW,GW,GW,GW,GW,GW,GW,DDM,DDM,DDM,DDM,DDM,DDM,DDM,DDM,DDM,DDM,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,JL,JL,JL,JL,JL,JL,JL,JL,JL,JL,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,,,,
2018-01-18,4346,405.068,357785,161143,174428,455158,0,0,19.016,37,4248,401.213,350118,159955,175005,229618,0,0,13.688,42,3848.5,370.303,304955,133233,150316,374728,0,0,21.976,50,299132.3333,368.833,407731,179184,203027,200102,0,0,5.92,46,64.09252,8.91886,0,0.02295,0.01932,0.019,37.77396,2.1,0.3,4.5,0,59.6,0,0,0,0,0.788,0.638,1.01,0.228
2018-01-19,2680.5,402.908,357785,161143,174428,485332,0,0,19.016,37,178852.3333,401.751,350118,159955,175005,246732,0,0,13.688,42,208816.6667,368.607,304955,133233,150316,385371,0,0,21.976,50,2683,367.574,407731,179184,203027,205695,0,0,5.92,46,58.59618,8.32426,0,0.01974,0.01797,0.01275,37.45846,1,-2.5,5.5,0,43,0,0,0,0,0.984,0.634,1.126,0.294
2018-01-20,32033706,422.231,357785,161143,174428,413869,0,0,19.016,37,36036710.33,399.571,350118,159955,175005,211196,0,0,13.688,42,3903530.333,356.395,304955,133233,150316,262073,0,0,21.976,50,35703034.67,386.4,407731,179184,203027,157535,0,0,5.92,46,53.49865,7.30911,0,0.01075,0.01317,0.01252,32.4305,2.2,-1,6.9,0,57.6,0,0,0,0,0.77,0.486,0.804,0.276
2018-01-21,215257,422.851,357785,161143,174428,306988,0,0,19.016,37,219286.3333,401.518,350118,159955,175005,154237,0,0,13.688,42,3187.5,347.446,304955,133233,150316,179155,0,0,21.976,50,3833,397.387,407731,179184,203027,115486,0,0,5.92,46,65.69501,9.33217,0,0.01061,0.01438,0.01229,31.74537,0.4,-3.7,5.5,0,36.6,0,0,0,0,0.664,0.448,0.648,0.268
2018-01-22,2424.5,405.757,357785,161143,174428,441439,0,0,19.016,37,2682,402.85,350118,159955,175005,231286,0,0,13.688,42,148451.3333,370.708,304955,133233,150316,365079,0,0,21.976,50,2670.5,373.502,407731,179184,203027,197959,0,0,5.92,46,77.34754,10.75338,0,0.01937,0.01839,0.00805,18.47428,0.2,-5.3,4,3.3,56.5,0,0,0,0,0.624,0.396,0.692,0.162
2018-01-23,120842.3333,403.307,357785,161143,174428,421891,0,0,19.016,37,90943,399.466,350118,159955,175005,203079,0,0,13.688,42,1262,371.593,304955,133233,150316,359431,0,0,21.976,50,20,371.269,407731,179184,203027,190093,0,0,5.92,46,70.75629,10.40533,0,0.02253,0.01769,0.00665,6.82864,-11.7,-14.6,-5.3,0,42,0,0,0,0,0.432,0.386,0.636,0.11
2018-01-24,97775,405.534,357785,161143,174428,410222,0,0,19.016,37,1466,399.975,350118,159955,175005,191779,0,0,13.688,42,1968.5,370.277,304955,133233,150316,345689,0,0,21.976,50,1766.5,370.572,407731,179184,203027,182844,0,0,5.92,46,65.70226,10.03553,0,0.02333,0.01588,0.00437,3.41257,-14.2,-16.3,-10.7,0,31.6,0,0,0,0,0.396,0.302,0.498,0.088
2018-01-25,35,404.59,357785,161143,174428,414092,0,0,19.016,37,107374,399.503,350118,159955,175005,197931,0,0,13.688,42,1213,369.152,304955,133233,150316,350585,0,0,21.976,50,1061,371.074,407731,179184,203027,184466,0,0,5.92,46,62.46102,8.65782,0,0.02477,0.0149,0.00456,2.49274,-14,-16.4,-9.5,0,32.6,0,0,0,0,0.444,0.306,0.492,0.098
2018-01-26,1218,407.765,357785,161143,174428,436397,0,0,19.016,37,1665,397.197,350118,159955,175005,202714,0,0,13.688,42,134511,370.103,304955,133233,150316,352031,0,0,21.976,50,117610,372.956,407731,179184,203027,187652,0,0,5.92,48,52.69378,8.17924,0,0.02328,0.0169,0.004,2.13048,-14.8,-17.8,-10.7,0,34.9,0,0,0,0,0.36,0.29,0.526,0.088
2018-01-27,1923.5,424.604,357785,161143,174428,374117,0,0,19.016,37,168182,402.145,350118,159955,175005,179262,0,0,13.688,42,174982.6667,358.757,304955,133233,150316,242891,0,0,21.976,50,194848.6667,390.797,407731,179184,203027,143788,0,0,5.92,48,49.85135,8.5853,0,0.01653,0.01126,0.00358,2.89305,-9.9,-15.9,-3.5,0,37.4,0,0,0,0,0.358,0.278,0.352,0.116
2018-01-28,2017,425.018,357785,161143,174428,287381,0,0,19.016,37,1368,403.362,350118,159955,175005,142873,0,0,13.688,42,108179.6667,350.585,304955,133233,150316,171056,0,0,21.976,50,30,398.708,407731,179184,203027,108777,0,0,5.92,48,62.77282,9.2379,0,0.01429,0.01178,0.00395,2.78421,-6.3,-9.3,-1.2,0,36,0,0,0,0,0.316,0.294,0.334,0.128
2018-01-29,154815.6667,407.065,357785,161143,174428,425196,0,0,19.016,37,145151.6667,401.161,350118,159955,175005,211680,0,0,13.688,42,171583.3333,370.696,304955,133233,150316,351788,0,0,21.976,50,184913.6667,374.799,407731,179184,203027,192707,0,0,5.92,48,72.4603,10.94916,0,0.02212,0.01709,0.00447,2.80526,-8.5,-11.6,-4.7,0,35,0,0,0,0,0.574,0.366,0.62,0.132
2018-01-30,2223,406.355,357785,161143,174428,455217,0,0,19.016,37,1977,401.389,350118,159955,175005,235483,0,0,13.688,42,44,373.184,304955,133233,150316,382202,0,0,21.976,50,2369.5,371.963,407731,179184,203027,205896,0,0,5.92,48,68.31266,10.15154,0,0.02584,0.0175,0.00572,4.79218,-5.3,-11.4,-0.8,2.9,62,0,0,0,0,0.444,0.288,0.512,0.098
2018-01-31,2168,405.906,357785,161143,174428,451346,0,0,19.016,37,36,401.754,350118,159955,175005,233224,0,0,13.688,42,111581.3333,371.37,304955,133233,150316,378160,0,0,21.976,50,161878.3333,372.699,407731,179184,203027,203737,0,0,5.92,48,64.68711,9.75998,0,0.02342,0.01499,0.00488,5.0531,-2.6,-5.2,0,0,54.5,0,0,0,0,0.474,0.338,0.598,0.1
2018-02-01,39,407.34,357700,161397,174323,446626,0,0,19.926,37,104712,402.576,349901,160296,174810,238154,0,0,13.26,42,131447.6667,373.121,305200,133644,150362,373467,0,0,22.14,50,161150.3333,371.086,407137,179365,202739,202468,0,0,6.616,48,62.90334,9.78899,0,0.0244,0.01588,0.00568,3.85782,-4,-8.8,1.2,0,44.1,0,0,0,0,0.726,0.43,0.816,0.202
2018-02-02,208552.6667,408.735,357700,161397,174323,477728,0,0,19.926,37,2681,402.22,349901,160296,174810,252351,0,0,13.26,42,178650.3333,370.405,305200,133644,150362,384256,0,0,22.14,50,51,371.359,407137,179365,202739,208063,0,0,6.616,48,51.94692,8.72308,0,0.02184,0.01397,0.00451,3.97321,-2.4,-7.6,3.8,0,51.1,0,0,0,0,0.732,0.47,0.886,0.224
2018-02-03,134580,426.574,357700,161397,174323,403846,0,0,19.926,37,114577,404.825,349901,160296,174810,201824,0,0,13.26,42,2020.5,357.225,305200,133644,150362,256611,0,0,22.14,50,1917,389.447,407137,179365,202739,156131,0,0,6.616,48,48.34312,8.01972,0,0.01294,0.01159,0.00209,2.40952,-7.3,-10.4,-2.1,0.5,47,0,0,0,0,0.448,0.312,0.44,0.152
2018-02-04,1614.5,425.38,357700,161397,174323,286649,0,0,19.926,37,1517,404.915,349901,160296,174810,138233,0,0,13.26,42,94476,350.578,305200,133644,150362,169716,0,0,22.14,50,2066.5,400.765,407137,179365,202739,110968,0,0,6.616,48,57.97259,9.25241,0,0.01266,0.01164,0.00288,1.74475,-9.5,-12.8,-5.2,0,40.9,0,0,0,0,0.322,0.244,0.328,0.126
2018-02-05,25,406.216,357700,161397,174323,426833,0,0,19.926,37,94107.66667,401.478,349901,160296,174810,214551,0,0,13.26,42,1466,369.648,305200,133644,150362,362033,0,0,22.14,50,94341,373.959,407137,179365,202739,196568,0,0,6.616,48,64.99166,10.11529,0,0.023,0.01615,0.00516,1.50143,-9.4,-11.8,-5.1,0,37.8,0,0,0,0,0.522,0.362,0.622,0.144
2018-02-06,101075.6667,404.772,357700,161397,174323,428494,0,0,19.926,37,1864,399.171,349901,160296,174810,214117,0,0,13.26,42,91144,369.372,305200,133644,150362,364084,0,0,22.14,50,1614,372.351,407137,179365,202739,195816,0,0,6.616,48,61.04705,9.57871,0,0.02319,0.01657,0.00475,1.28288,-10.1,-12.8,-5.8,0,36.5,0,0,0,0,0.472,0.342,0.592,0.114
2018-02-07,144881.3333,404.595,357700,161397,174323,444046,0,0,19.926,37,1966.5,398.873,349901,160296,174810,227866,0,0,13.26,42,111446.3333,369.025,305200,133644,150362,374637,0,0,22.14,50,1873,371.177,407137,179365,202739,200637,0,0,6.616,48,54.41954,8.57805,0,0.02468,0.01788,0.00349,1.75676,-8,-13.4,-1.6,0,39.8,0,0,0,0,0.614,0.43,0.676,0.158
2018-02-08,2724,405.676,357700,161397,174323,451767,0,0,19.926,37,2374.5,400.559,349901,160296,174810,247043,0,0,13.26,42,2528,368.471,305200,133644,150362,379102,0,0,22.14,50,192283,370.619,407137,179365,202739,206013,0,0,6.616,48,52.62852,7.99796,0,0.02011,0.0162,0.00386,3.92068,-4.4,-9.7,2,0,43.3,0,0,0,0,0.706,0.476,0.758,0.174
2018-02-09,308922.3333,405.021,357700,161397,174323,479895,0,0,19.926,37,69,397.602,349901,160296,174810,254507,0,0,13.26,42,235658,368.901,305200,133644,150362,385417,0,0,22.14,50,228792.6667,369.475,407137,179365,202739,209563,0,0,6.616,48,47.02342,7.51214,0,0.01816,0.01397,0.00535,26.7434,0.4,-5.3,6.1,0,43.9,0,0,0,0,0.838,0.48,0.946,0.23
2018-02-10,3891,422.108,357700,161397,174323,396679,0,0,19.926,37,222425,402.323,349901,160296,174810,217643,0,0,13.26,42,296093,357.812,305200,133644,150362,259497,0,0,22.14,50,65,389.583,407137,179365,202739,157075,0,0,6.616,48,44.43477,7.25835,0,0.01052,0.0108,0.00572,23.39504,-0.5,-6.9,3.2,0,47.4,0,0,0,0,0.614,0.4,0.606,0.236
2018-02-11,174986.3333,424.304,357700,161397,174323,291650,0,0,19.926,37,168620.3333,401.387,349901,160296,174810,151014,0,0,13.26,42,2421,351.088,305200,133644,150362,178130,0,0,22.14,50,2624,398.138,407137,179365,202739,111228,0,0,6.616,48,53.65818,8.09948,0,0.01182,0.01187,0.0026,5.16138,-6.1,-9.5,-2.2,0,42.5,0,0,0,0,0.45,0.28,0.356,0.144
2018-02-12,168414.3333,404.49,357700,161397,174323,447283,0,0,19.926,37,155446.6667,397.328,349901,160296,174810,235550,0,0,13.26,42,2823.5,369.903,305200,133644,150362,369059,0,0,22.14,50,154948.3333,374.464,407137,179365,202739,201546,0,0,6.616,48,54.87636,8.66507,0,0.02165,0.01513,0.00339,2.94935,-5.8,-9.6,-1.8,0,40.8,0,0,0,0,0.652,0.46,0.716,0.178
2018-02-13,164717,402.276,357700,161397,174323,457402,0,0,19.926,37,47,396.374,349901,160296,174810,244418,0,0,13.26,42,3027.5,369.14,305200,133644,150362,375362,0,0,22.14,50,195149,372.866,407137,179365,202739,204253,0,0,6.616,48,48.1981,8.28076,0,0.01983,0.01695,0.00335,4.12591,-0.8,-7.4,4.3,0,54.5,0,0,0,0,0.788,0.52,0.892,0.288
2018-02-14,64,402.136,357700,161397,174323,473814,0,0,19.926,37,259252.6667,386.394,349901,160296,174810,239627,0,0,13.26,42,3236,358.947,305200,133644,150362,358317,0,0,22.14,50,265453.6667,377.369,407137,179365,202739,201681,0,0,6.616,48,40.44666,6.74352,0,0.01541,0.01289,0.00488,11.05766,3.5,-0.7,8.7,0,51,0,0,0,0,0.9,0.55,0.994,0.272
2018-02-15,147812.6667,379.108,357700,161397,174323,220349,0,0,19.926,37,124745,367.2,349901,160296,174810,115987,0,0,13.26,42,124746,321.459,305200,133644,150362,123288,0,0,22.14,50,104446,388.86,407137,179365,202739,89265,0,0,6.616,48,35.90022,6.35921,0,0.00777,0.01043,0.00312,7.10391,-0.7,-3.7,4,0,28,0,0,0,0,0.436,0.332,0.488,0.218
2018-02-16,148381.6667,360.934,357700,161397,174323,184308,0,0,19.926,37,138153.3333,355.436,349901,160296,174810,86622,0,0,13.26,42,164712.3333,310.106,305200,133644,150362,104035,0,0,22.14,50,41,382.805,407137,179365,202739,87531,0,0,6.616,48,43.81843,6.05467,0,0.00554,0.00721,0.00135,3.49113,-1.1,-5.5,4.9,0,40.1,0,0,0,0,0.318,0.244,0.398,0.192
2018-02-17,162051.3333,375.778,357700,161397,174323,260093,0,0,19.926,37,154782,359.073,349901,160296,174810,116654,0,0,13.26,42,2921,315.285,305200,133644,150362,140621,0,0,22.14,50,148181.3333,391.738,407137,179365,202739,101582,0,0,6.616,48,54.63708,7.21485,0,0.00796,0.00884,0.0019,3.58804,-3,-7.1,1.4,0,25.6,0,0,0,0,0.388,0.298,0.442,0.236
2018-02-18,118312.6667,400.578,357700,161397,174323,287644,0,0,19.926,37,1615,378.469,349901,160296,174810,131911,0,0,13.26,42,111313.3333,331.6,305200,133644,150362,162091,0,0,22.14,50,117977.6667,394.384,407137,179365,202739,111299,0,0,6.616,48,75.90457,9.43368,0,0.00991,0.01112,0.00284,7.6585,-0.4,-4.9,5.2,0,26.9,0,0,0,0,0.65,0.368,0.568,0.262
2018-02-19,3027,411.362,357700,161397,174323,453272,0,0,19.926,37,3431.5,393.573,349901,160296,174810,218615,0,0,13.26,42,2984,366.047,305200,133644,150362,352928,0,0,22.14,50,191719.6667,376.326,407137,179365,202739,199672,0,0,6.616,48,85.6283,11.5075,0,0.01979,0.01639,0.00554,8.10756,1.8,-1.9,6.8,0,48.6,0,0,0,0,0.954,0.628,1.22,0.32
2018-02-20,212523,403.309,357700,161397,174323,468459,0,0,19.926,37,2832.5,390.89,349901,160296,174810,229212,0,0,13.26,42,258892.6667,369.049,305200,133644,150362,377501,0,0,22.14,50,3178,369.664,407137,179365,202739,207534,0,0,6.616,48,71.43064,10.26031,0,0.02151,0.01834,0.00558,13.30834,0.9,-2.4,5.5,0,41,0,0,0,0,0.958,0.74,1.238,0.302
2018-02-21,1720.5,405.869,357700,161397,174323,477736,0,0,19.926,37,151114.3333,393.272,349901,160296,174810,231860,0,0,13.26,42,2369,370.402,305200,133644,150362,385273,0,0,22.14,50,1616,368.746,407137,179365,202739,208109,0,0,6.616,48,67.23225,9.62946,0,0.02049,0.0169,0.00381,4.46712,-0.9,-4.5,4.4,0,31.5,0,0,0,0,0.946,0.664,1.086,0.338
2018-02-22,141480.3333,409.49,357700,161397,174323,491422,0,0,19.926,37,2521,396.742,349901,160296,174810,234132,0,0,13.26,42,49,372.953,305200,133644,150362,393388,0,0,22.14,50,144714,369.007,407137,179365,202739,210772,0,0,6.616,48,67.18149,9.07838,0,0.02086,0.0156,0.00498,4.8204,1.3,-3.9,5.4,0.4,59,0,0,0,0,1.008,0.614,1.134,0.318
2018-02-23,4348,410.361,357700,161397,174323,512015,0,0,19.926,37,292931.6667,396.351,349901,160296,174810,241849,0,0,13.26,42,3744,371.748,305200,133644,150362,397758,0,0,22.14,50,5941.5,369.19,407137,179365,202739,214945,0,0,6.616,48,58.25538,8.28076,0,0.01979,0.0156,0.006,19.83116,4.2,-0.3,8.6,3.7,81.1,0,0,0,0,0.744,0.466,0.896,0.246
2018-02-24,4490,429.187,357700,161397,174323,448643,0,0,19.926,37,242460.3333,403.867,349901,160296,174810,213053,0,0,13.26,42,4296,361.541,305200,133644,150362,284402,0,0,22.14,50,3640.5,386.317,407137,179365,202739,170789,0,0,6.616,48,52.36023,8.16474,0,0.01206,0.01126,0.00558,23.28733,2.4,-1.1,7.2,0,49.4,0,0,0,0,0.866,0.624,0.808,0.288
2018-02-25,144653,430.268,357700,161397,174323,335656,0,0,19.926,37,2577.5,402.413,349901,160296,174810,154653,0,0,13.26,42,2318,353.321,305200,133644,150362,192457,0,0,22.14,50,2319,395.785,407137,179365,202739,126404,0,0,6.616,48,63.12812,8.61431,0,0.01089,0.01061,0.00381,10.79031,1.9,-1.6,7.9,0,40.6,0,0,0,0,0.926,0.588,0.932,0.314
2018-02-26,3236,411.505,357700,161397,174323,477341,0,0,19.926,40,3080,403.041,349901,160296,174810,234011,0,0,13.26,42,3733,372.812,305200,133644,150362,380866,0,0,22.14,50,66,371.416,407137,179365,202739,206322,0,0,6.616,48,73.68573,10.57211,0,0.02053,0.01578,0.00502,8.9316,3.1,-3.2,10.4,0,43.1,0,0,0,0,1.274,0.828,1.448,0.394
2018-02-27,50055.5,409.482,357700,161397,174323,474480,0,0,19.926,40,5499,402.048,349901,160296,174810,227697,0,0,13.26,42,102,374.229,305200,133644,150362,380329,0,0,22.14,50,339698.6667,369.611,407137,179365,202739,206601,0,0,6.616,48,67.83409,10.15879,0,0.02593,0.01755,0.00712,24.76654,4.2,0.6,6.9,0,48.8,0,0,0,0,1.152,0.756,1.3,0.396
2018-02-28,3432,409.313,357700,161397,174323,482936,0,0,19.926,40,65,406.281,349901,160296,174810,224781,0,0,13.26,42,249391,377.901,305200,133644,150362,389795,0,0,22.14,50,3231.5,369.597,407137,179365,202739,204473,0,0,6.616,48,59.14001,9.51345,0,0.02379,0.01601,0.00735,16.57329,4.6,1.8,7.8,25,73.3,0,0,0,0,0.522,0.354,0.554,0.15
2018-03-01,,425.411,357149,161407,173946,333767,0,0,61.128,40,1925.5,408.506,349308,160489,174476,165998,0,0,35.47,42,148550,362.693,306532,134543,150937,219299,0,0,60.162,50,1771,391.577,406868,179600,202526,127382,0,0,20.256,48,63.17163,8.72308,0,0.01588,0.01262,0.00456,8.58536,-0.2,-4.3,3,0.5,61.9,0,0,0,0,0.6,0.474,0.66,0.226
2018-03-02,3182.5,415.521,357149,161407,173946,481545,0,0,61.128,40,3195,414.568,349308,160489,174476,229680,0,0,35.47,42,248727.3333,375.831,306532,134543,150937,386612,0,0,60.162,50,60,372.833,406868,179600,202526,209026,0,0,20.256,48,58.60343,8.5563,0,0.02035,0.01411,0.004,7.64183,-0.7,-6.7,5.4,0,34,0,0,0,0,1.028,0.75,1.196,0.346
2018-03-03,192184,433.268,357149,161407,173946,435222,0,0,61.128,40,66,410.082,349308,160489,174476,204309,0,0,35.47,42,3281,362.417,306532,134543,150937,272612,0,0,60.162,50,261817.6667,386.497,406868,179600,202526,160324,0,0,20.256,48,57.04444,8.29526,0,0.01359,0.01159,0.00372,12.19236,7.9,-0.1,16.2,0,38.1,0,0,0,0,2.12,1.04,1.894,0.598
2018-03-04,35,431.695,357149,161407,173946,304254,0,0,61.128,40,1520,415.011,349308,160489,174476,140823,0,0,35.47,42,1765,357.619,306532,134543,150937,183968,0,0,60.162,50,111075,398.646,406868,179600,202526,112960,0,0,20.256,48,72.77209,9.62946,0,0.01611,0.01164,0.00339,8.18878,9.8,7.6,11.9,11.5,89.1,0,0,0,0,0.616,0.446,0.628,0.26
2018-03-05,49,421.561,357149,161407,173946,478939,0,0,61.128,40,48.5,422.989,349308,160489,174476,230603,0,0,35.47,42,411,381.912,306532,134543,150937,407832,0,0,60.162,50,3905,370.113,406868,179600,202526,213618,0,0,20.256,48,78.02914,12.10934,0,0.02859,0.01713,0.00409,4.42233,5.5,1.3,11.4,3.5,67.5,0,0,0,0,1.18,0.746,1.378,0.326
2018-03-06,1520,421.649,357149,161407,173946,488974,0,0,61.128,40,107544,425.516,349308,160489,174476,240973,0,0,35.47,42,114441.6667,384.018,306532,134543,150937,415136,0,0,60.162,50,25,367.214,406868,179600,202526,216926,0,0,20.256,48,64.79588,11.8193,0,0.03501,0.01709,0.00684,4.66458,4.5,-1.1,10.9,0,46.8,0,0,0,0,1.606,1.032,1.87,0.588
